escenario;avg. trip duration [s]
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;187.44
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.10
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;188.78
escenario 1;189.39
escenario 1;189.39
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;190.04
escenario 1;191.08
escenario 1;191.08
escenario 1;191.08
escenario 1;191.08
escenario 1;191.08
escenario 1;191.08
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
escenario 1;192.01
